Geography,Segment,Variety,Timeframe,Period,"Current Year Week Ending","Units Prior Year","Units Current Year","Unit Variance","Dollars Prior Year","Dollars Current Year","Dollar Variance","ASP Prior Year","ASP Current Year","ASP Variance"
Sacramento,Avocados,Hass,"Last 04 Wks",5,"2023-05-21 00:00:00",1960597.59,2090912.88,0.066467127,3288777.36,2605049.78,-0.207897194,1.677436195,1.245891115,-0.257264677
"San Diego",Avocados,Hass,"Last 04 Wks",5,"2023-05-21 00:00:00",2256590.67,2287668.47,0.013772012,3275508.68,2756449.63,-0.158466700,1.451529831,1.204916564,-0.169898863
"San Francisco",Avocados,Hass,"Last 04 Wks",5,"2023-05-21 00:00:00",3959964.56,3578902.52,-0.096228648,6674455.95,4367871.05,-0.345583957,1.685483760,1.220449852,-0.275905303
Seattle,Avocados,Hass,"Last 04 Wks",5,"2023-05-21 00:00:00",2320083.16,2576143.87,0.110367040,4348779.73,3521926.95,-0.190134436,1.874406834,1.367131312,-0.270632561
"South Carolina",Avocados,Hass,"Last 04 Wks",5,"2023-05-21 00:00:00",2166996.14,2633216.78,0.215146039,3199370.81,2690807.33,-0.158957343,1.476408170,1.021870796,-0.307867014
Spokane,Avocados,Hass,"Last 04 Wks",5,"2023-05-21 00:00:00",314718.72,379428.18,0.205610446,534365.53,432148.96,-0.191285860,1.697914632,1.138947972,-0.329207752
"St. Louis",Avocados,Hass,"Last 04 Wks",5,"2023-05-21 00:00:00",850804.71,1023936.32,0.203491594,1123924.80,923153.70,-0.178633924,1.321013839,0.901573355,-0.317514073
Syracuse,Avocados,Hass,"Last 04 Wks",5,"2023-05-21 00:00:00",339133.66,403740.07,0.190504270,511860.62,435743.10,-0.148707527,1.509318261,1.079266414,-0.284931189
Tampa,Avocados,Hass,"Last 04 Wks",5,"2023-05-21 00:00:00",2356535.79,2991174.54,0.269310037,3273188.42,2848664.28,-0.129697435,1.388983111,0.952356422,-0.314349891
Toledo,Avocados,Hass,"Last 04 Wks",5,"2023-05-21 00:00:00",598733.14,607149.59,0.014057091,781215.03,635564.11,-0.186441525,1.304780010,1.046799873,-0.197719259
"West Tex/New Mexico",Avocados,Hass,"Last 04 Wks",5,"2023-05-21 00:00:00",3476317.91,4226491.05,0.215795323,4663102.23,3424638.89,-0.265587861,1.341391195,0.810279460,-0.395940973
Wichita,Avocados,Hass,"Last 04 Wks",5,"2023-05-21 00:00:00",431374.49,505679.17,0.172251002,579077.75,476261.83,-0.177551141,1.342401479,0.941826079,-0.298402085
"Total U.S.",Avocados,Hass,"Last 04 Wks",6,"2023-06-18 00:00:00",146974774.70,169155884.90,0.150917803,226077848.70,182279120.00,-0.193732950,1.538208506,1.077580719,-0.299457314
California,Avocados,Hass,"Last 04 Wks",6,"2023-06-18 00:00:00",23114900.07,25342194.36,0.096357513,38776885.90,31807151.00,-0.179739418,1.677570995,1.255106426,-0.251831112
"Great Lakes",Avocados,Hass,"Last 04 Wks",6,"2023-06-18 00:00:00",15844297.68,16925183.64,0.068219241,24584389.30,18908785.98,-0.230862083,1.551623795,1.117198275,-0.279981218
Midsouth,Avocados,Hass,"Last 04 Wks",6,"2023-06-18 00:00:00",15388325.73,16981985.32,0.103562896,23830029.42,19547852.10,-0.179696686,1.548578437,1.151093452,-0.256677334
Northeast,Avocados,Hass,"Last 04 Wks",6,"2023-06-18 00:00:00",21849615.78,23691466.60,0.084296714,34642883.85,28198304.00,-0.186028966,1.585514556,1.190230410,-0.249309692
Plains,Avocados,Hass,"Last 04 Wks",6,"2023-06-18 00:00:00",7298812.67,9074586.35,0.243296240,11589711.31,8670993.12,-0.251837006,1.587889955,0.955524890,-0.398242374
"South Central",Avocados,Hass,"Last 04 Wks",6,"2023-06-18 00:00:00",17647124.42,22997924.65,0.303210886,23711331.04,19192068.90,-0.190595042,1.343637098,0.834513079,-0.378914828
Southeast,Avocados,Hass,"Last 04 Wks",6,"2023-06-18 00:00:00",19904774.66,24774626.23,0.244657458,29888632.93,25066649.23,-0.161331691,1.501581075,1.011787181,-0.326185447
West,Avocados,Hass,"Last 04 Wks",6,"2023-06-18 00:00:00",25926923.73,29367917.70,0.132718945,39053984.92,30887315.70,-0.209112316,1.506310017,1.051736661,-0.301779415
Albany,Avocados,Hass,"Last 04 Wks",6,"2023-06-18 00:00:00",479933.58,554300.09,0.154951672,713766.04,613821.44,-0.140024309,1.487218372,1.107381095,-0.255401146
Atlanta,Avocados,Hass,"Last 04 Wks",6,"2023-06-18 00:00:00",2984757.71,3322388.67,0.113118384,4565502.89,3472701.03,-0.239360676,1.529605863,1.045242256,-0.316659094
Baltimore/Washington,Avocados,Hass,"Last 04 Wks",6,"2023-06-18 00:00:00",3684073.39,3751323.82,0.018254368,5988651.43,4977256.78,-0.168885209,1.625551611,1.326800091,-0.183784703
Birmingham/Montgomery,Avocados,Hass,"Last 04 Wks",6,"2023-06-18 00:00:00",1232772.26,1490070.94,0.208715505,1842311.43,1447267.70,-0.214428310,1.494445882,0.971274359,-0.350077262
Boise,Avocados,Hass,"Last 04 Wks",6,"2023-06-18 00:00:00",497466.88,507290.45,0.019747183,778259.65,531949.03,-0.316488997,1.564445137,1.048608402,-0.329725039
Boston,Avocados,Hass,"Last 04 Wks",6,"2023-06-18 00:00:00",2265132.25,2657754.86,0.173333191,4031266.56,3460527.59,-0.141578078,1.779704719,1.302049203,-0.268390318
Buffalo/Rochester,Avocados,Hass,"Last 04 Wks",6,"2023-06-18 00:00:00",745334.14,798110.34,0.070808775,1167937.39,881839.39,-0.244960050,1.566998376,1.104909115,-0.294888155
Charlotte,Avocados,Hass,"Last 04 Wks",6,"2023-06-18 00:00:00",1318579.81,1588789.51,0.204924795,2154028.67,1905074.76,-0.115575951,1.633597487,1.199073096,-0.265992323
Chicago,Avocados,Hass,"Last 04 Wks",6,"2023-06-18 00:00:00",3461764.34,3537138.51,0.021773338,5765831.30,4506679.66,-0.218381630,1.665575911,1.274103248,-0.235037419
Cincinnati/Dayton,Avocados,Hass,"Last 04 Wks",6,"2023-06-18 00:00:00",1227541.47,1258817.92,0.025478939,1883542.41,1469870.56,-0.219624390,1.534402265,1.167659382,-0.239013518
Columbus,Avocados,Hass,"Last 04 Wks",6,"2023-06-18 00:00:00",1002464.39,997804.39,-0.004648546,1466986.71,1131246.30,-0.228863973,1.463380367,1.133735544,-0.225262570
"Dallas/Ft. Worth",Avocados,Hass,"Last 04 Wks",6,"2023-06-18 00:00:00",5052974.89,6011380.40,0.189671536,6685476.78,5005657.22,-0.251263988,1.323077380,0.832696800,-0.370636357
Denver,Avocados,Hass,"Last 04 Wks",6,"2023-06-18 00:00:00",3444646.27,4060676.16,0.178836908,5768257.40,4355449.43,-0.244928038,1.674557254,1.072592164,-0.359477162
Detroit,Avocados,Hass,"Last 04 Wks",6,"2023-06-18 00:00:00",1805767.22,1804682.93,-0.000600460,2743590.62,2001684.06,-0.270414453,1.519348996,1.109161076,-0.269976103
"Grand Rapids",Avocados,Hass,"Last 04 Wks",6,"2023-06-18 00:00:00",652226.95,755049.54,0.157648481,1205192.49,908176.11,-0.246447260,1.847811555,1.202803341,-0.349066014
Harrisburg/Scranton,Avocados,Hass,"Last 04 Wks",6,"2023-06-18 00:00:00",1432931.94,1593702.97,0.112197254,2226558.75,1858265.83,-0.165409032,1.553848229,1.166005124,-0.249601665
Hartford/Springfield,Avocados,Hass,"Last 04 Wks",6,"2023-06-18 00:00:00",1370929.06,1520644.53,0.109207303,2205586.77,1927268.27,-0.126187960,1.608826323,1.267402232,-0.212219359
Houston,Avocados,Hass,"Last 04 Wks",6,"2023-06-18 00:00:00",2950794.29,3798719.12,0.287354773,3695531.91,3274911.51,-0.113818636,1.252385473,0.862109412,-0.311626148
Indianapolis,Avocados,Hass,"Last 04 Wks",6,"2023-06-18 00:00:00",1023533.87,1139469.22,0.113269677,1506829.06,1227561.83,-0.185334380,1.472182894,1.077310210,-0.268222573
Jacksonville,Avocados,Hass,"Last 04 Wks",6,"2023-06-18 00:00:00",810675.22,1057955.06,0.305029482,1228930.94,1109444.58,-0.097227889,1.515935009,1.048668912,-0.308236233
"Las Vegas",Avocados,Hass,"Last 04 Wks",6,"2023-06-18 00:00:00",1519526.80,1778224.02,0.170248544,2077386.64,1797185.94,-0.134881341,1.367127347,1.010663404,-0.260739384
"Los Angeles",Avocados,Hass,"Last 04 Wks",6,"2023-06-18 00:00:00",11008619.56,12641190.87,0.148299367,17872189.33,15309997.03,-0.143361972,1.623472338,1.211119837,-0.253994165
Louisville,Avocados,Hass,"Last 04 Wks",6,"2023-06-18 00:00:00",530857.02,592740.05,0.116571942,741287.56,612365.65,-0.173916196,1.396397781,1.033109957,-0.260160700
"Miami/FT. Lauderdale",Avocados,Hass,"Last 04 Wks",6,"2023-06-18 00:00:00",3653691.78,4803301.03,0.314643195,5560688.41,4934110.60,-0.112679899,1.521936920,1.027233265,-0.325048725
Nashville,Avocados,Hass,"Last 04 Wks",6,"2023-06-18 00:00:00",1166533.65,1386216.02,0.188320641,1735218.61,1418512.17,-0.182516735,1.487499827,1.023298068,-0.312068446
"Northern New England",Avocados,Hass,"Last 04 Wks",6,"2023-06-18 00:00:00",1798651.69,2115637.22,0.176235085,2865792.03,2391725.08,-0.165422665,1.593300165,1.130498675,-0.290467232
"New Orleans/Mobile",Avocados,Hass,"Last 04 Wks",6,"2023-06-18 00:00:00",1002563.33,1249877.40,0.246681737,1386644.53,1063177.16,-0.233273464,1.383099192,0.850625160,-0.384986149
"New York",Avocados,Hass,"Last 04 Wks",6,"2023-06-18 00:00:00",8292586.28,8544026.18,0.030321047,12828806.62,10293994.92,-0.197587490,1.547021181,1.204817812,-0.221201477
Orlando,Avocados,Hass,"Last 04 Wks",6,"2023-06-18 00:00:00",2005656.75,2652115.56,0.322317772,3044527.97,2678950.81,-0.120076793,1.517970598,1.010118433,-0.334559948
Peoria/Springfield,Avocados,Hass,"Last 04 Wks",6,"2023-06-18 00:00:00",478568.01,538381.00,0.124983262,698860.87,535277.48,-0.234071475,1.460316743,0.994235458,-0.319164515
Philadelphia,Avocados,Hass,"Last 04 Wks",6,"2023-06-18 00:00:00",2467593.26,2536996.40,0.028125843,3749491.43,2853881.88,-0.238861609,1.519493303,1.124905764,-0.259683631
Phoenix/Tucson,Avocados,Hass,"Last 04 Wks",6,"2023-06-18 00:00:00",4486024.01,5362813.90,0.195449219,5639981.73,4795174.09,-0.149789075,1.257233959,0.894152617,-0.288793776
Pittsburgh,Avocados,Hass,"Last 04 Wks",6,"2023-06-18 00:00:00",543277.28,604128.03,0.112006790,872579.17,669342.84,-0.232914492,1.606139623,1.107948657,-0.310179115
Portland,Avocados,Hass,"Last 04 Wks",6,"2023-06-18 00:00:00",2637191.94,2640743.53,0.001346730,4118798.16,3145256.05,-0.236365578,1.561812051,1.191049420,-0.237392605
Providence,Avocados,Hass,"Last 04 Wks",6,"2023-06-18 00:00:00",324403.52,384086.11,0.183976388,603992.01,513582.71,-0.149686257,1.861854077,1.337155137,-0.281815286
Raleigh/Greensboro,Avocados,Hass,"Last 04 Wks",6,"2023-06-18 00:00:00",1611477.05,1853207.69,0.150005639,2565707.22,2140632.11,-0.165675611,1.592146299,1.155095630,-0.274504089
Richmond/Norfolk,Avocados,Hass,"Last 04 Wks",6,"2023-06-18 00:00:00",1199194.53,1285721.06,0.072153879,1843351.33,1462854.57,-0.206415760,1.537157892,1.137769775,-0.259822442
Roanoke,Avocados,Hass,"Last 04 Wks",6,"2023-06-18 00:00:00",724601.66,787715.49,0.087101407,1069349.50,842499.74,-0.212138092,1.475775670,1.069548275,-0.275263648
Sacramento,Avocados,Hass,"Last 04 Wks",6,"2023-06-18 00:00:00",1774378.04,1935856.84,0.091005864,3250709.24,2615502.13,-0.195405697,1.832027435,1.351082414,-0.262520643
"San Diego",Avocados,Hass,"Last 04 Wks",6,"2023-06-18 00:00:00",2085541.26,2263862.92,0.085503781,3348768.03,2699955.37,-0.193746670,1.605706916,1.192632002,-0.257254241
"San Francisco",Avocados,Hass,"Last 04 Wks",6,"2023-06-18 00:00:00",3312059.70,3203743.32,-0.032703631,5919415.36,4469603.50,-0.244924840,1.787230878,1.395119101,-0.219396264
Seattle,Avocados,Hass,"Last 04 Wks",6,"2023-06-18 00:00:00",2237627.20,2351003.54,0.050668112,4132792.96,3412196.52,-0.174360644,1.846953314,1.451378724,-0.214176821
"South Carolina",Avocados,Hass,"Last 04 Wks",6,"2023-06-18 00:00:00",2047007.22,2446363.03,0.195092529,3210209.44,2693605.38,-0.160925347,1.568245296,1.101065270,-0.297899842
Spokane,Avocados,Hass,"Last 04 Wks",6,"2023-06-18 00:00:00",311443.54,341703.37,0.097159914,522678.57,419428.86,-0.197539603,1.678245034,1.227464802,-0.268602155
"St. Louis",Avocados,Hass,"Last 04 Wks",6,"2023-06-18 00:00:00",845103.22,916182.13,0.084106768,1189227.24,915554.77,-0.230126307,1.407197614,0.999315248,-0.289854362
Syracuse,Avocados,Hass,"Last 04 Wks",6,"2023-06-18 00:00:00",323706.10,372089.08,0.149465758,501199.52,414334.31,-0.173314626,1.548316565,1.113535266,-0.280809047
Tampa,Avocados,Hass,"Last 04 Wks",6,"2023-06-18 00:00:00",2171938.17,2807380.26,0.292569142,3052554.45,2660104.27,-0.128564515,1.405451819,0.947539708,-0.325811319
Toledo,Avocados,Hass,"Last 04 Wks",6,"2023-06-18 00:00:00",538972.41,554065.13,0.028002772,786104.82,588808.40,-0.250979793,1.458525170,1.062706107,-0.271383087
"West Tex/New Mexico",Avocados,Hass,"Last 04 Wks",6,"2023-06-18 00:00:00",3349962.82,4226760.03,0.261733416,4569493.09,3427414.03,-0.249935614,1.364042929,0.810884462,-0.405528635
Wichita,Avocados,Hass,"Last 04 Wks",6,"2023-06-18 00:00:00",429900.13,500314.29,0.163791902,570882.40,443636.65,-0.222893102,1.327941905,0.886715927,-0.332263013
"Total U.S.",Avocados,Hass,"Last 04 Wks",7,"2023-07-16 00:00:00",144988303.30,158123965.80,0.090598085,214489658.50,185258957.90,-0.136280233,1.479358360,1.171605815,-0.208031099
California,Avocados,Hass,"Last 04 Wks",7,"2023-07-16 00:00:00",24296912.92,25142097.51,0.034785678,40095592.07,33263947.60,-0.170383928,1.650234011,1.323037889,-0.198272560
"Great Lakes",Avocados,Hass,"Last 04 Wks",7,"2023-07-16 00:00:00",15307611.42,15607222.95,0.019572716,23186502.93,18597548.16,-0.197914915,1.514704175,1.191598802,-0.213312526
Midsouth,Avocados,Hass,"Last 04 Wks",7,"2023-07-16 00:00:00",14567553.00,15711175.09,0.078504749,21727488.26,19492622.45,-0.102858912,1.491498830,1.240685203,-0.168162135
Northeast,Avocados,Hass,"Last 04 Wks",7,"2023-07-16 00:00:00",20806508.34,21917950.91,0.053418024,31072370.79,27141357.03,-0.126511549,1.493396695,1.238316353,-0.170805482
Plains,Avocados,Hass,"Last 04 Wks",7,"2023-07-16 00:00:00",7134127.28,8318058.23,0.165953158,10906431.60,8613308.61,-0.210254195,1.528768857,1.035495109,-0.322660777
"South Central",Avocados,Hass,"Last 04 Wks",7,"2023-07-16 00:00:00",17898254.50,21330998.21,0.191792094,23199688.74,20020324.01,-0.137043422,1.296198394,0.938555421,-0.275916846
Southeast,Avocados,Hass,"Last 04 Wks",7,"2023-07-16 00:00:00",19404540.00,21112482.57,0.088017678,26315432.00,25266614.41,-0.039855610,1.356148200,1.196761884,-0.117528686
West,Avocados,Hass,"Last 04 Wks",7,"2023-07-16 00:00:00",25572795.79,28983980.38,0.133391148,37986152.11,32863235.61,-0.134862739,1.485412562,1.133841356,-0.236682532
Albany,Avocados,Hass,"Last 04 Wks",7,"2023-07-16 00:00:00",494234.87,543763.81,0.100213358,682230.72,602608.98,-0.116707942,1.380377551,1.108218255,-0.197162940
Atlanta,Avocados,Hass,"Last 04 Wks",7,"2023-07-16 00:00:00",2964824.64,3001821.19,0.012478496,3769650.57,3516074.10,-0.067267896,1.271458190,1.171313639,-0.078763542
Baltimore/Washington,Avocados,Hass,"Last 04 Wks",7,"2023-07-16 00:00:00",3525566.78,3504828.82,-0.005882163,5497576.68,4749001.46,-0.136164580,1.559345497,1.354988135,-0.131053293
Birmingham/Montgomery,Avocados,Hass,"Last 04 Wks",7,"2023-07-16 00:00:00",1159223.23,1306145.41,0.126741921,1583349.36,1509067.03,-0.046914681,1.365870973,1.155359136,-0.154122784
Boise,Avocados,Hass,"Last 04 Wks",7,"2023-07-16 00:00:00",465866.74,495678.66,0.063992380,701382.15,565078.80,-0.194335350,1.505542448,1.140010354,-0.242790958
Boston,Avocados,Hass,"Last 04 Wks",7,"2023-07-16 00:00:00",2263626.19,2424221.67,0.070946115,3664428.13,3297741.64,-0.100066496,1.618830947,1.360330073,-0.159683675
Buffalo/Rochester,Avocados,Hass,"Last 04 Wks",7,"2023-07-16 00:00:00",710527.31,771888.38,0.086359914,1063861.15,854089.19,-0.197179829,1.497283973,1.106493124,-0.260999821
Charlotte,Avocados,Hass,"Last 04 Wks",7,"2023-07-16 00:00:00",1223111.63,1461054.77,0.194539189,1949933.41,1975552.11,0.013138244,1.594239942,1.352141035,-0.151858513
Chicago,Avocados,Hass,"Last 04 Wks",7,"2023-07-16 00:00:00",3291286.85,3574669.50,0.086100867,5566196.34,4585490.80,-0.176189535,1.691191500,1.282773358,-0.241497277
Cincinnati/Dayton,Avocados,Hass,"Last 04 Wks",7,"2023-07-16 00:00:00",1083970.94,954334.25,-0.119594249,1724356.82,1190379.00,-0.309667819,1.590777715,1.247339704,-0.215893149
Columbus,Avocados,Hass,"Last 04 Wks",7,"2023-07-16 00:00:00",874409.88,916676.93,0.048337797,1316636.09,1150896.17,-0.125881346,1.505742460,1.255509031,-0.166186075
"Dallas/Ft. Worth",Avocados,Hass,"Last 04 Wks",7,"2023-07-16 00:00:00",5025038.22,5570085.62,0.108466319,6415585.34,5233748.44,-0.184213418,1.276723691,0.939617234,-0.264040261
Denver,Avocados,Hass,"Last 04 Wks",7,"2023-07-16 00:00:00",3597377.63,4281193.49,0.190087316,5563299.69,4838235.55,-0.130329872,1.546487540,1.130113731,-0.269238386
Detroit,Avocados,Hass,"Last 04 Wks",7,"2023-07-16 00:00:00",1819500.53,1509345.72,-0.170461507,2513734.16,1813903.35,-0.278402870,1.381551763,1.201781226,-0.130122187
"Grand Rapids",Avocados,Hass,"Last 04 Wks",7,"2023-07-16 00:00:00",729254.92,727367.38,-0.002588302,1143407.26,937078.53,-0.180450781,1.567911622,1.288315294,-0.178324035
Harrisburg/Scranton,Avocados,Hass,"Last 04 Wks",7,"2023-07-16 00:00:00",1380524.70,1494062.11,0.082242212,1958182.71,1803397.65,-0.079045260,1.418433666,1.207043297,-0.149030846
Hartford/Springfield,Avocados,Hass,"Last 04 Wks",7,"2023-07-16 00:00:00",1326140.82,1395073.70,0.051980061,1997351.14,1873419.46,-0.062048017,1.506138048,1.342882078,-0.108393763
Houston,Avocados,Hass,"Last 04 Wks",7,"2023-07-16 00:00:00",3107527.80,3486663.97,0.122005719,3932923.51,3225447.34,-0.179885565,1.265611688,0.925081216,-0.269063944
Indianapolis,Avocados,Hass,"Last 04 Wks",7,"2023-07-16 00:00:00",918396.16,1008715.59,0.098344736,1378411.37,1195773.48,-0.132498826,1.500889739,1.185441663,-0.210174051
Jacksonville,Avocados,Hass,"Last 04 Wks",7,"2023-07-16 00:00:00",803886.22,921451.17,0.146245756,1134441.93,1169976.08,0.031323021,1.411197139,1.269710348,-0.100260118
"Las Vegas",Avocados,Hass,"Last 04 Wks",7,"2023-07-16 00:00:00",1589486.36,1704363.77,0.072273294,2040220.41,1896174.64,-0.070603040,1.283572142,1.112541040,-0.133246193
"Los Angeles",Avocados,Hass,"Last 04 Wks",7,"2023-07-16 00:00:00",11573283.50,12389201.92,0.070500167,18647144.29,16042727.77,-0.139668385,1.611223322,1.294895981,-0.196327435
Louisville,Avocados,Hass,"Last 04 Wks",7,"2023-07-16 00:00:00",494452.89,547254.52,0.106787997,663125.51,612943.74,-0.075674624,1.341129819,1.120034124,-0.164857788
"Miami/FT. Lauderdale",Avocados,Hass,"Last 04 Wks",7,"2023-07-16 00:00:00",3573038.73,3865099.24,0.081740091,4905263.32,4711262.46,-0.039549531,1.372854785,1.218924059,-0.112124551
Nashville,Avocados,Hass,"Last 04 Wks",7,"2023-07-16 00:00:00",1098885.55,1195226.16,0.087671195,1578673.32,1394249.53,-0.116822006,1.436613051,1.166515246,-0.188010128
"Northern New England",Avocados,Hass,"Last 04 Wks",7,"2023-07-16 00:00:00",1992174.73,2140641.05,0.074524749,2795521.89,2441607.53,-0.126600459,1.403251354,1.140596426,-0.187175966
"New Orleans/Mobile",Avocados,Hass,"Last 04 Wks",7,"2023-07-16 00:00:00",1087275.22,1139502.75,0.048035247,1378019.27,1152218.49,-0.163858939,1.267406121,1.011159025,-0.202182309
"New York",Avocados,Hass,"Last 04 Wks",7,"2023-07-16 00:00:00",7415441.83,7483920.87,0.009234654,11199652.78,9491591.46,-0.152510203,1.510314967,1.268264541,-0.160264866
Orlando,Avocados,Hass,"Last 04 Wks",7,"2023-07-16 00:00:00",1975708.56,2197855.56,0.112439153,2702481.46,2720921.05,0.006823208,1.367854306,1.237989023,-0.094940874
Peoria/Springfield,Avocados,Hass,"Last 04 Wks",7,"2023-07-16 00:00:00",441584.31,483171.28,0.094176741,634254.73,513985.93,-0.189622247,1.436316278,1.063775818,-0.259372163
Philadelphia,Avocados,Hass,"Last 04 Wks",7,"2023-07-16 00:00:00",2161749.55,2355907.56,0.089815219,3154534.16,2607748.46,-0.173333265,1.459250524,1.106897615,-0.241461561
Phoenix/Tucson,Avocados,Hass,"Last 04 Wks",7,"2023-07-16 00:00:00",4188858.31,4947477.73,0.181104102,5316516.39,4995749.74,-0.060333992,1.269204159,1.009756891,-0.204417285
Pittsburgh,Avocados,Hass,"Last 04 Wks",7,"2023-07-16 00:00:00",493045.21,562740.86,0.141357524,730350.87,724602.64,-0.007870500,1.481306070,1.287631106,-0.130746081
Portland,Avocados,Hass,"Last 04 Wks",7,"2023-07-16 00:00:00",2428870.27,2704701.84,0.113563730,3972490.33,3248094.91,-0.182352973,1.635530056,1.200906829,-0.265738453
Providence,Avocados,Hass,"Last 04 Wks",7,"2023-07-16 00:00:00",345518.02,369137.48,0.068359559,566892.41,535617.43,-0.055169164,1.640702854,1.450997125,-0.115624672
Raleigh/Greensboro,Avocados,Hass,"Last 04 Wks",7,"2023-07-16 00:00:00",1511469.78,1698560.27,0.123780505,2268141.65,2161074.90,-0.047204612,1.500619918,1.272298042,-0.152151703
Richmond/Norfolk,Avocados,Hass,"Last 04 Wks",7,"2023-07-16 00:00:00",1135384.52,1249083.76,0.100141623,1697998.53,1521544.84,-0.103918636,1.495527293,1.218128747,-0.185485445
Roanoke,Avocados,Hass,"Last 04 Wks",7,"2023-07-16 00:00:00",675453.77,736750.70,0.090749264,964436.32,851937.96,-0.116646744,1.427834687,1.156344966,-0.190140864
Sacramento,Avocados,Hass,"Last 04 Wks",7,"2023-07-16 00:00:00",1872074.16,1981311.79,0.058351122,3316343.16,2824557.19,-0.148291640,1.771480651,1.425599547,-0.195249721
"San Diego",Avocados,Hass,"Last 04 Wks",7,"2023-07-16 00:00:00",2228129.27,2249951.40,0.009793924,3547218.64,2934914.21,-0.172615362,1.592016536,1.304434492,-0.180640111
"San Francisco",Avocados,Hass,"Last 04 Wks",7,"2023-07-16 00:00:00",3415615.47,3236447.43,-0.052455563,5987733.80,4483744.59,-0.251178369,1.753046812,1.385390829,-0.209723996
Seattle,Avocados,Hass,"Last 04 Wks",7,"2023-07-16 00:00:00",2223700.18,2327991.23,0.046899778,4211701.35,3509975.51,-0.166613388,1.894005934,1.507727121,-0.203948048
"South Carolina",Avocados,Hass,"Last 04 Wks",7,"2023-07-16 00:00:00",1944750.01,2238936.43,0.151272104,2877951.72,2779861.86,-0.034083218,1.479856898,1.241599277,-0.161000446
Spokane,Avocados,Hass,"Last 04 Wks",7,"2023-07-16 00:00:00",318310.64,342406.66,0.075699671,543834.94,436154.37,-0.198002317,1.708503797,1.273790561,-0.254440896
"St. Louis",Avocados,Hass,"Last 04 Wks",7,"2023-07-16 00:00:00",781795.58,861878.69,0.102434837,1064034.88,900481.45,-0.153710592,1.361014188,1.044789091,-0.232345188
Syracuse,Avocados,Hass,"Last 04 Wks",7,"2023-07-16 00:00:00",325578.99,365905.30,0.123860318,477331.85,409897.68,-0.141273145,1.466101515,1.120228843,-0.235913181
Tampa,Avocados,Hass,"Last 04 Wks",7,"2023-07-16 00:00:00",2111090.45,2226416.33,0.054628579,2842602.18,2647493.99,-0.068637177,1.346508945,1.189127999,-0.116880728
Toledo,Avocados,Hass,"Last 04 Wks",7,"2023-07-16 00:00:00",500061.51,494166.94,-0.011787671,715388.95,572644.81,-0.199533613,1.430601923,1.158808405,-0.189985428
"West Tex/New Mexico",Avocados,Hass,"Last 04 Wks",7,"2023-07-16 00:00:00",3404398.40,3901643.95,0.146059743,4113686.95,3620063.45,-0.119995397,1.208344756,0.927830293,-0.232147706
Wichita,Avocados,Hass,"Last 04 Wks",7,"2023-07-16 00:00:00",421460.88,437187.32,0.037314109,554904.54,405544.89,-0.269162784,1.316621702,0.927622723,-0.295452352
"Total U.S.",Avocados,Hass,"Last 04 Wks",8,"2023-08-13 00:00:00",149137933.30,148021387.40,-0.007486666,200651577.80,185167852.90,-0.077167222,1.345409402,1.250953366,-0.070206166
California,Avocados,Hass,"Last 04 Wks",8,"2023-08-13 00:00:00",24663563.15,23188055.69,-0.059825397,37889415.02,32781449.87,-0.134812458,1.536250654,1.413721370,-0.079758654
"Great Lakes",Avocados,Hass,"Last 04 Wks",8,"2023-08-13 00:00:00",15850770.81,14771450.34,-0.068092617,21846074.03,17731386.29,-0.188349071,1.378234175,1.200382216,-0.129043353
Midsouth,Avocados,Hass,"Last 04 Wks",8,"2023-08-13 00:00:00",15207682.29,15415479.69,0.013663976,20385953.00,18988115.11,-0.068568680,1.340503610,1.231756357,-0.081124178
Northeast,Avocados,Hass,"Last 04 Wks",8,"2023-08-13 00:00:00",20721844.95,21241835.22,0.025093821,28736430.33,26230411.08,-0.087207048,1.386769875,1.234846745,-0.109551796
Plains,Avocados,Hass,"Last 04 Wks",8,"2023-08-13 00:00:00",7701726.37,7415359.15,-0.037182212,10007260.18,8519428.38,-0.148675239,1.299352859,1.148889517,-0.115798677
"South Central",Avocados,Hass,"Last 04 Wks",8,"2023-08-13 00:00:00",19864981.63,19367404.73,-0.025047941,22206034.12,21373697.95,-0.037482432,1.117848208,1.103591227,-0.012753951
Southeast,Avocados,Hass,"Last 04 Wks",8,"2023-08-13 00:00:00",18690932.45,20420263.52,0.092522461,23977674.31,25886455.91,0.079606620,1.282850622,1.267684714,-0.011822037
West,Avocados,Hass,"Last 04 Wks",8,"2023-08-13 00:00:00",26436431.68,26201539.09,-0.008885185,35602736.75,33656908.27,-0.054653902,1.346730042,1.284539360,-0.046179026
Albany,Avocados,Hass,"Last 04 Wks",8,"2023-08-13 00:00:00",506520.73,498059.10,-0.016705397,650871.66,542513.67,-0.166481339,1.284985225,1.089255612,-0.152320516
Atlanta,Avocados,Hass,"Last 04 Wks",8,"2023-08-13 00:00:00",2855510.81,2827827.95,-0.009694538,3805923.20,3606594.85,-0.052373191,1.332834456,1.275394017,-0.043096454
Baltimore/Washington,Avocados,Hass,"Last 04 Wks",8,"2023-08-13 00:00:00",3667934.88,3487997.12,-0.049056968,5226481.49,4706965.31,-0.099400749,1.424911197,1.349475114,-0.052940901
Birmingham/Montgomery,Avocados,Hass,"Last 04 Wks",8,"2023-08-13 00:00:00",1174788.83,1238397.44,0.054144715,1447618.95,1472357.91,0.017089417,1.232237576,1.188921957,-0.035152003
